engine_run_time_,engine_rpm_,vehicle_speed_,throttle_,engine_load_,coolant_temperature_,long_term_fuel_trim_bank_1_,short_term_fuel_trim_bank_1_,intake_manifold_pressure_,fuel_tank_,absolute_throttle_b_,pedal_d_,pedal_e_,commanded_throttle_actuator_,fuel_air_commanded_equiv_ratio_,absolute_barometric_pressure_,relative_throttle_position_,intake_air_temp_,timing_advance_,catalyst_temperature_bank1_sensor1_,catalyst_temperature_bank1_sensor2_,control_module_voltage_,commanded_evaporative_purge_,time_run_with_mil_on_,time_since_trouble_codes_cleared_,distance_traveled_with_mil_on_,warm_ups_since_codes_cleared_
1607.0,0.0,19.607843,23.529411,25.0,0.78125,0.0,23.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,17.0,36.599998,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1525.0,0.0,19.607843,23.921568,26.0,0.78125,0.0,23.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,17.0,36.599998,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1525.0,0.0,19.215687,23.921568,26.0,0.78125,0.0,23.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,15.0,36.599998,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1525.0,0.0,19.215687,23.921568,26.0,0.78125,0.0,23.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,15.0,44.0,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1525.0,0.0,19.215687,23.921568,26.0,0.78125,0.0,23.0,31.764706,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,15.0,44.0,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1438.25,0.0,19.215687,24.313726,26.0,0.78125,0.0,24.0,31.764706,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,12.0,44.0,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1438.25,0.0,19.215687,24.313726,26.0,0.78125,0.0,24.0,32.156864,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,12.0,44.0,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1438.25,0.0,19.215687,24.313726,26.0,0.78125,0.0,24.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,12.0,47.900002,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1438.25,0.0,19.215687,24.313726,26.0,0.78125,0.0,24.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,12.0,47.900002,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1400.75,0.0,19.215687,26.274509,27.0,0.78125,0.0,26.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,26.0,5.0,47.900002,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
